                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67506,                0.42043,                0.94158,                0.99091,                0.98116,                0.99308,                0.86925,                0.54921,                0.34128,                0.89498,               0.000614,               0.000614,               0.000614
                     37,                0.67913,                0.43143,                 0.9517,                0.97808,                0.97959,                0.99267,                0.85491,                0.58764,                0.35621,                0.90538,              0.0005744,              0.0005744,              0.0005744
                     38,                0.65312,                 0.4046,                0.91721,                 0.9948,                 0.9686,                0.99309,                0.86114,                0.54554,                0.33273,                 0.8877,              0.0005348,              0.0005348,              0.0005348
                     39,                0.67486,                0.41046,                0.92892,                0.99043,                0.97495,                0.99349,                0.86585,                0.54104,                0.32255,                0.88711,              0.0004952,              0.0004952,              0.0004952
                     40,                0.63944,                0.38017,                0.91824,                0.99448,                0.97802,                0.99314,                0.86461,                 0.5419,                0.32813,                0.89168,              0.0004556,              0.0004556,              0.0004556
                     41,                0.58134,                0.35922,                  0.928,                0.97975,                0.98734,                 0.9933,                 0.8723,                0.54138,                0.32073,                0.88499,               0.000416,               0.000416,               0.000416
                     42,                0.57178,                 0.3467,                0.91441,                0.98736,                0.98096,                0.99388,                0.86812,                 0.5464,                0.31833,                0.88521,              0.0003764,              0.0003764,              0.0003764
                     43,                0.57898,                0.34713,                0.92315,                0.99307,                0.98587,                0.99389,                0.86781,                0.52628,                0.31199,                0.87891,              0.0003368,              0.0003368,              0.0003368
                     44,                0.55588,                0.33258,                0.91845,                0.98808,                0.98744,                0.99419,                 0.8846,                0.49664,                0.29371,                0.87415,              0.0002972,              0.0002972,              0.0002972
                     45,                0.54951,                0.32084,                0.91048,                0.99214,                0.99065,                0.99417,                0.88713,                0.49729,                0.29227,                0.86994,              0.0002576,              0.0002576,              0.0002576
                     46,                0.54805,                0.31508,                0.90034,                0.99527,                0.99014,                0.99433,                0.88602,                0.50213,                0.29418,                0.86827,               0.000218,               0.000218,               0.000218
                     47,                0.53328,                0.31617,                0.90686,                0.99372,                0.99365,                0.99406,                 0.8866,                0.49628,                0.28719,                0.86702,              0.0001784,              0.0001784,              0.0001784
                     48,                0.52411,                0.31547,                0.89836,                0.99385,                0.99215,                0.99404,                0.89502,                0.47283,                0.28369,                0.86187,              0.0001388,              0.0001388,              0.0001388
                     49,                0.51645,                0.30572,                0.89463,                0.99372,                0.99351,                0.99423,                0.89434,                0.46963,                0.27485,                 0.8599,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.49868,                0.29788,                0.90421,                0.99318,                0.99215,                0.99428,                0.89457,                0.46727,                0.27671,                0.85811,               5.96e-05,               5.96e-05,               5.96e-05
